Ref,Val,Package,PosX,PosY,Rot,Side
"C12","0.1uF","C_0402_1005Metric",208.720000,-113.250000,180.000000,bottom
"C13","0.1uF","C_0402_1005Metric",208.690000,-115.230000,180.000000,bottom
"C21","1uF","C_0402_1005Metric",205.790000,-121.230000,-90.000000,bottom
"C25","2.2uF","C_0603_1608Metric",189.725000,-85.900000,0.000000,bottom
"C38","2.2uF","C_0603_1608Metric",187.330000,-90.190000,-90.000000,bottom
"C39","1uF","C_0603_1608Metric",190.640000,-91.070000,180.000000,bottom
"C40","22uF","C_0603_1608Metric",196.380000,-90.150000,-90.000000,bottom
"C41","0.1uF","C_0603_1608Metric",197.980000,-90.150000,-90.000000,bottom
"C45","22uF","C_0603_1608Metric",244.495000,-95.160000,180.000000,bottom
"C46","0.1uF","C_0402_1005Metric",244.550000,-96.410000,180.000000,bottom
"C47","22uF","C_0402_1005Metric",210.800000,-123.610000,-90.000000,bottom
"C48","0.1uF","C_0402_1005Metric",200.420000,-122.790000,-90.000000,bottom
"C49","4.7uF","C_0603_1608Metric",244.470000,-97.660000,180.000000,bottom
"C52","4.7uF","C_0603_1608Metric",238.150000,-101.890000,-90.000000,bottom
"C53","0.1uF","C_0402_1005Metric",241.850000,-101.570000,-90.000000,bottom
"C54","0.1uF","C_0402_1005Metric",236.800000,-107.470000,0.000000,bottom
"C55","0.1uF","C_0402_1005Metric",238.420000,-109.050000,90.000000,bottom
"C56","4.7uF","C_0603_1608Metric",233.490000,-109.810000,180.000000,bottom
"C57","0.1uF","C_0402_1005Metric",239.790000,-102.220000,-90.000000,bottom
"C60","0.1uF","C_0402_1005Metric",236.500000,-105.460000,0.000000,bottom
"C61","0.1uF","C_0402_1005Metric",236.460000,-103.470000,0.000000,bottom
"C62","0.1uF","C_0402_1005Metric",236.330000,-110.690000,180.000000,bottom
"C63","10uF","C_0603_1608Metric",247.650000,-101.210000,180.000000,bottom
"C64","0.1uF","C_0402_1005Metric",247.950000,-102.470000,180.000000,bottom
"C65","4.7uF","C_0603_1608Metric",241.910000,-111.335000,-90.000000,bottom
"C67","4.7uF","C_0603_1608Metric",242.590000,-103.210000,180.000000,bottom
"C68","0.1uF","C_0402_1005Metric",242.870000,-107.000000,180.000000,bottom
"C69","0.1uF","C_0402_1005Metric",242.880000,-104.500000,180.000000,bottom
"FB2","FerriteBead","L_0603_1608Metric",200.500000,-104.310000,90.000000,bottom
"FB3","FerriteBead","L_0603_1608Metric",194.057500,-89.380000,0.000000,bottom
"FB4","220R","L_0603_1608Metric",245.245000,-92.910000,-90.000000,bottom
"FB5","220R","L_0603_1608Metric",213.010000,-123.110000,180.000000,bottom
"FB7","220R","L_0603_1608Metric",247.647500,-99.680000,0.000000,bottom
"FB8","FerriteBead","L_0603_1608Metric",186.600000,-85.900000,0.000000,bottom
"R14","1K","R_0402_1005Metric",205.000000,-125.090000,-90.000000,bottom
"R18","10K","R_0402_1005Metric",206.225000,-110.975000,0.000000,bottom
"R20","10K","R_0603_1608Metric",187.975000,-121.125000,180.000000,bottom
"R25","100K","R_0402_1005Metric",206.050000,-125.090000,90.000000,bottom
"R28","22R","R_0402_1005Metric",255.700000,-93.290000,90.000000,bottom
"R29","22R","R_0402_1005Metric",260.730000,-93.280000,90.000000,bottom
"R38","0R","R_0402_1005Metric",217.840000,-122.780000,180.000000,bottom
"R39","0R","R_0402_1005Metric",217.840000,-123.790000,180.000000,bottom
"R42","10K","R_0402_1005Metric",234.520000,-102.500000,180.000000,bottom
"R43","10K","R_0402_1005Metric",234.520000,-104.540000,180.000000,bottom
"R44","10K","R_0402_1005Metric",234.520000,-106.530000,180.000000,bottom
"R45","10K","R_0402_1005Metric",234.520000,-107.510000,180.000000,bottom
"R46","1K","R_0402_1005Metric",231.910000,-106.575000,180.000000,bottom
"R47","1K","R_0402_1005Metric",231.900000,-105.575000,180.000000,bottom
"R48","1K","R_0402_1005Metric",231.910000,-108.575000,180.000000,bottom
"R49","10K","R_0603_1608Metric",263.560000,-93.270000,-90.000000,bottom
"R50","1K","R_0603_1608Metric",262.010000,-93.270000,90.000000,bottom
"R51","10K","R_0603_1608Metric",258.540000,-93.300000,-90.000000,bottom
"R52","1K","R_0603_1608Metric",257.010000,-93.300000,90.000000,bottom
"R53","10K","R_0402_1005Metric",239.560000,-109.930000,-90.000000,bottom
"R54","1K","R_0402_1005Metric",231.910000,-107.575000,180.000000,bottom
"R55","470R","R_0603_1608Metric",265.100000,-93.265000,-90.000000,bottom
"U4","TLV75533PDBV","SOT-23-5",190.282500,-88.460000,0.000000,bottom
